CO_ART;ART DES;CAT;GENERAL;SUB CAT ;LIN;SUB-LIN;MODELO;COLOR;TALLA;MARCA;NUM-REG;REF;CANT UNI_BULTO;TOT-BULTOS;UNI-BLTOS;TOT-UNI;FALTANTES;NOTA;PRECIO COSTO;PRECIO VENTA;CO_SENCAMER;IVA;RIF_LIMPIO;ID_USER;MODELO
BNG61605-20002;BOLSO NIKE GRIS;2;404;213;301;521;645;7209;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNAR61605-30003;BOLSO NIKE AZUL REY;2;404;213;301;521;645;7098;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNR61605-40004;BOLSO NIKE ROJO ;2;404;213;301;521;645;7084;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BJNLA9908-10001;BOLSO JORDAN NEGRO LOGO AZUL;2;404;213;301;521;645;NEGRO LOGO AZUL;U;2;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BJNLB9908-20002;BOLSO JORDAN NEGRO LOGO BLANCO;2;404;213;301;521;645;NEGRO LOGO BLANCO;U;2;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BJNLG9908-30003;BOLSO JORDAN NEGRO LOGO GRIS;2;404;213;301;521;645;NEGRO LOGO GRIS;U;2;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNNA1623-10001;BOLSO NIKE NEGRO AZUL;2;404;213;301;521;645;7003;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNNV1623-20002;BOLSO NIKE NEGRO VERDE ;2;404;213;301;521;645;7165;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNNR1623-30003;BOLSO NIKE NEGRO ROJO;2;404;213;301;521;645;7099;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNNG1623-40004;BOLSO NIKE NEGRO GRIS;2;404;213;301;521;645;7014;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNNLV5000-10001;BOLSO NIKE NEGRO LOGO VERDE ;2;404;213;301;521;645;NEGRO LOGO VERDE ;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNNLR5000-20002;BOLSO NIKE NEGRO LOGO ROJO;2;404;213;301;521;645;NEGRO LOGO ROJO;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNNLB5000-30003;BOLSO NIKE NEGRO LOGO BLANCO;2;404;213;301;521;645;NEGRO LOGO BLANCO;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNNLA5000-40004;BOLSO NIKE NEGRO LOGO AZUL;2;404;213;301;521;645;NEGRO LOGO AZUL;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNG61784-10001;BOLSO NIKE GRIS;2;404;213;301;521;645;7209;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNN61784-20002;BOLSO NIKE NEGRO;2;404;213;301;521;645;7011;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNR61784-30003;BOLSO NIKE ROJO ;2;404;213;301;521;645;7084;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNAR61784-40004;BOLSO NIKE AZUL REY;2;404;213;301;521;645;7098;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNN61606-10001;BOLSO NIKE NEGRO;2;404;213;301;521;645;7011;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNR61606-20002;BOLSO NIKE ROJO ;2;404;213;301;521;645;7084;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNAR61606-30003;BOLSO NIKE AZUL REY;2;404;213;301;521;645;7098;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNGP61606-40004;BOLSO NIKE GRIS PLOMO;2;404;213;301;521;645;7199;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNG61606-50005;BOLSO NIKE GRIS;2;404;213;301;521;645;7209;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BANNAD325-10001;BOLSO ADIDAS NEGRO NARANJA;2;404;213;301;521;645;7122;U;6;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BANAAD325-20002;BOLSO ADIDAS NEGRO AZUL;2;404;213;301;521;645;7003;U;6;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BANVAD325-30003;BOLSO ADIDAS NEGRO VERDE ;2;404;213;301;521;645;7165;U;6;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BANGAD325-40004;BOLSO ADIDAS NEGRO GRIS;2;404;213;301;521;645;7014;U;6;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNVC2007-10001;BOLSO NIKE VERDE CAMUFLADO;2;404;213;301;521;645;7193;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNGC2007-20002;BOLSO NIKE GRIS CAMUFLADO;2;404;213;301;521;645;7192;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNRC2007-30003;BOLSO NIKE ROJO CAMUFLADO;2;404;213;301;521;645;ROJO CAMUFLADO;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNAC2007-40004;BOLSO NIKE AZUL CAMUFLADO;2;404;213;301;521;645;AZUL CAMUFLADO;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNR6647-10001;BOLSO NIKE ROJO;2;404;213;301;521;645;7084;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNG6647-20002;BOLSO NIKE GRIS;2;404;213;301;521;645;7209;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNAR6647-30003;BOLSO NIKE AZUL REY;2;404;213;301;521;645;7098;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNN6647-40004;BOLSO NIKE NEGRO;2;404;213;301;521;645;7011;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNN2062-10001;BOLSO NIKE NEGRO;2;404;213;301;521;645;7011;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNNG2062-20002;BOLSO NIKE NEGRO GRIS;2;404;213;301;521;645;7014;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNGP2062-30003;BOLSO NIKE GRIS PLOMO;2;404;213;301;521;645;7199;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNFN2062-40004;BOLSO NIKE FUCSIA NEGRO;2;404;213;301;521;645;7088;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BNM2062-50005;BOLSO NIKE MARRON;2;404;213;301;521;645;7029;U;1;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
BJN2093-10001;BOLSO JORDAN NEGRO;2;404;213;301;521;645;7011;U;2;;;2;;;;;;1;20;005704TI12-326129;1;25998807;5;DEPORTIVO
